
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.1)

2024-06-09T09:24:21.766Z  INFO 1 --- [           main] c.k.kubeproxy.KubeProxyRenewApplication  : Starting KubeProxyRenewApplication v0.0.1-SNAPSHOT using Java 17.0.2 with PID 1 (/app/app.jar started by root in /app)
2024-06-09T09:24:21.768Z DEBUG 1 --- [           main] c.k.kubeproxy.KubeProxyRenewApplication  : Running with Spring Boot v3.1.1, Spring v6.0.10
2024-06-09T09:24:21.769Z  INFO 1 --- [           main] c.k.kubeproxy.KubeProxyRenewApplication  : The following 1 profile is active: "prod"
2024-06-09T09:24:21.769Z DEBUG 1 --- [           main] o.s.boot.SpringApplication               : Loading source class com.kubepattern.kubeproxy.KubeProxyRenewApplication
2024-06-09T09:24:21.815Z DEBUG 1 --- [           main] onfigReactiveWebServerApplicationContext : Refreshing org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@12468a38
2024-06-09T09:24:21.829Z DEBUG 1 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2024-06-09T09:24:21.843Z DEBUG 1 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2024-06-09T09:24:21.898Z DEBUG 1 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/app.jar!/BOOT-INF/classes!/com/kubepattern/kubeproxy/filters/RdeRoutingGlobalFilter.class]
2024-06-09T09:24:21.899Z DEBUG 1 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/app.jar!/BOOT-INF/classes!/com/kubepattern/kubeproxy/filters/AuthenticationFilter.class]
2024-06-09T09:24:21.911Z DEBUG 1 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/app.jar!/BOOT-INF/classes!/com/kubepattern/kubeproxy/config/OAuth2LoginWebFluxSecurityConfig.class]
2024-06-09T09:24:21.927Z DEBUG 1 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/app.jar!/BOOT-INF/classes!/com/kubepattern/kubeproxy/controller/ProxyRouterController.class]
2024-06-09T09:24:22.884Z DEBUG 1 --- [           main] ySourcesPropertyResolver$DefaultResolver : Found key 'KEYCLOAK_URL' in PropertySource 'systemEnvironment' with value of type String
2024-06-09T09:24:22.947Z DEBUG 1 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'refreshScope'
